title,open_date,link,image_link
Dario Argento Panico,"Opens Jan 31, 2024",https://www.rottentomatoes.com/m/dario_argento_panico,https://resizing.flixster.com/7f5prb6yFquKS4_t3YLi3AT0jns=/206x305/v2/https://resizing.flixster.com/RxZfy3gyMP-NVcdMUsOeL0ruQLM=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2FkZjkwYTM1LTc5ZjAtNDk0Ni1hYjMzLTBmNTczNjcyMmM4NS5wbmc=
Argylle,"Opens Feb 02, 2024",https://www.rottentomatoes.com/m/argylle,https://resizing.flixster.com/UHX6rqBEKFrtyEGImsdbsJqdw5U=/206x305/v2/https://resizing.flixster.com/sutljIrYjy_CppdngrSZTk1V4bI=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2RiZmY2NGJjLWI2NjEtNDkzNS04ODdmLTNhYmViNDUxOTY4Mi5qcGc=
The Promised Land,"Opens Feb 02, 2024",https://www.rottentomatoes.com/m/the_promised_land_2023,https://resizing.flixster.com/ukPqQaC1z3ukPEyZW3Oko8HG9oQ=/206x305/v2/https://resizing.flixster.com/9LUf8ZkyB4KeE7utTY4BMqp92Ko=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzgyYWI3NTZhLTQ4ZTQtNDc4OS1hZDk0LTcyZWJkMzFiMGJkNC5qcGc=
How to Have Sex,"Opens Feb 02, 2024",https://www.rottentomatoes.com/m/how_to_have_sex,https://resizing.flixster.com/bHZ9NqVkI1hwxW6MVUSFsCftz9U=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p24764273_p_v8_aa.jpg
Fitting In,"Opens Feb 02, 2024",https://www.rottentomatoes.com/m/fitting_in_2023,https://resizing.flixster.com/KWY6LL83PwY6RxZow8yCbdG3Dsk=/206x305/v2/https://resizing.flixster.com/HgJYJqGbkyqb17jdSAfrj9E2_7w=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzVlZjA0ZmViLTY0NTQtNDE3NC1iYzU5LTE5Y2Q5YjAzMDAzNy5qcGc=
Scrambled,"Opens Feb 02, 2024",https://www.rottentomatoes.com/m/scrambled_2023,https://resizing.flixster.com/gBRtfhjX9mGaRXLASdQESQvUO4o=/206x305/v2/https://resizing.flixster.com/RjyUGDLw0iGeVlvmFTpxPzOtMBc=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2UxMzkyZTY0LWZiOGUtNDExOS04YjU4LTEzNDA3MTA5M2M5NC5qcGc=
Skin Deep,"Opens Feb 02, 2024",https://www.rottentomatoes.com/m/skin_deep_2022,https://resizing.flixster.com/9j9kkCIVhtaYl0zqry4ah2nbeXQ=/206x305/v2/https://resizing.flixster.com/5tPHtHTygoUr4dJ3iu5ZEYUqhjA=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2M1ZmM2M2Q1LThkZTktNDUxYi04MjVkLTk4YjAwNjVlNTk0My5qcGc=
She Is Conann,"Opens Feb 02, 2024",https://www.rottentomatoes.com/m/she_is_conann,https://resizing.flixster.com/u2pGJTGFal1qs70GkCszxBK-Gb4=/206x305/v2/https://resizing.flixster.com/55uTc5uxMDjLjOitMFI7UsDSD-c=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzNjODQ2YzEzLTIwYTQtNGNiOS04OTcwLTdhNmM1MTZkZjY5My5qcGc=
Calamity Jane,"Opens Feb 02, 2024",https://www.rottentomatoes.com/m/calamity_jane_2024,https://resizing.flixster.com/hXvfd0YknS1rgjOBdFIjL9B6aMs=/206x305/v2/https://resizing.flixster.com/waxzR6YX7ToYeatln2Vwd5x-8kQ=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2QwNDk3MzQ5LWYzN2QtNGFlOS05MzRlLTRiZmQyMzk2YWZhZC5qcGc=
Suncoast,"Opens Feb 02, 2024",https://www.rottentomatoes.com/m/suncoast,https://resizing.flixster.com/7rIe3K8UA2TNkmh_k_ncBDhfwEA=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p26543325_p_v13_aa.jpg
Departing Seniors,"Opens Feb 02, 2024",https://www.rottentomatoes.com/m/departing_seniors,https://resizing.flixster.com/rtRS_dlMOLPqRnhTB_JsYcvUSHA=/206x305/v2/https://resizing.flixster.com/09IN9nvqSvnGeDUPk1mIT_3Gsjc=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2E0MGNhOTFlLTY5OTYtNGFmMC1hMzRmLTc1NWMwNzM3OGRmMy5qcGc=
Disco Boy,"Opens Feb 02, 2024",https://www.rottentomatoes.com/m/disco_boy,https://resizing.flixster.com/s0vGiffmZ4jyzXfy6QsigxCFJVE=/206x305/v2/https://resizing.flixster.com/6Gd2kd2lv5K1d64ScD5k1rpwqdI=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzRkYmZkZDQzLTA5NWItNDhjOS1iMGU2LTFmMzE5ZjM2NzA2ZC5qcGc=
